Neighborhood,Building.Classification,Total.Units,Year.Built,Gross.SqFt,Estimated.Gross.Income,Gross.Income.per.SqFt,Estimated.Expense,Expense.per.SqFt,Net.Operating.Income,Full.Market.Value,Market.Value.per.SqFt,Boro
FINANCIAL,R4-CONDOMINIUM,320,2005,477747,19864720,41.58,5795071,12.13,14069649,106168339,222.23,Manhattan
FINANCIAL,R4-CONDOMINIUM,382,1914,648926,27436591,42.28,6820212,10.51,20616379,155560004,239.72,Manhattan
FINANCIAL,R4-CONDOMINIUM,107,1836,159544,7798511,48.88,1973559,12.37,5824952,43678004,273.77,Manhattan
FINANCIAL,RR-CONDOMINIUM,350,1929,346789,13511000,38.96,3172000,9.15,10339000,78272000,225.7,Manhattan
FINANCIAL,R4-CONDOMINIUM,126,1987,96902,3271412,33.76,995184,10.27,2276228,16895998,174.36,Manhattan
FINANCIAL,R9-CONDOMINIUM,40,1920,65396,1493000,22.83,594600,9.09,898400,6573000,100.51,Manhattan
FINANCIAL,R4-CONDOMINIUM,31,1900,20308,854154,42.06,291217,14.34,562937,3751007,184.71,Manhattan
FINANCIAL,R4-CONDOMINIUM,347,1987,422833,19420720,45.93,5019028,11.87,14401692,83690005,197.93,Manhattan
FINANCIAL,R4-CONDOMINIUM,121,1956,109468,4199192,38.36,1321279,12.07,2877913,21777997,198.94,Manhattan
FINANCIAL,R4-CONDOMINIUM,20,1902,39607,1644087,41.51,466967,11.79,1177120,8886999,224.38,Manhattan
FINANCIAL,R4-CONDOMINIUM,90,1893,73507,2563189,34.87,784320,10.67,1778869,13165001,179.1,Manhattan
FINANCIAL,R4-CONDOMINIUM,408,1928,548976,23210705,42.28,5769738,10.51,17440967,118799990,216.4,Manhattan
FINANCIAL,RR-CONDOMINIUM,13,1900,21069,461000,21.88,188000,8.92,273000,1875000,88.99,Manhattan
FINANCIAL,R4-CONDOMINIUM,12,1913,65992,2374392,35.98,729872,11.06,1644520,6787002,102.85,Manhattan
FINANCIAL,R4-CONDOMINIUM,102,1903,71985,2988097,41.51,848703,11.79,2139394,16151989,224.38,Manhattan
FINANCIAL,R4-CONDOMINIUM,160,2007,215467,7752503,35.98,2383065,11.06,5369438,39629986,183.93,Manhattan
FINANCIAL,R9-CONDOMINIUM,29,1920,28550,848506,29.72,254952,8.93,593554,4449000,155.83,Manhattan
FINANCIAL,R4-CONDOMINIUM,145,1927,186512,7885727,42.28,1960241,10.51,5925486,44711007,239.72,Manhattan
FINANCIAL,R4-CONDOMINIUM,113,1967,112213,4744366,42.28,1179359,10.51,3565007,26900017,239.72,Manhattan
FINANCIAL,RR-CONDOMINIUM,221,1931,214364,7055000,32.91,2020000,9.42,5035000,37493000,174.9,Manhattan
FINANCIAL,R4-CONDOMINIUM,14,1982,24362,835129,34.28,188806,7.75,646323,4789000,196.58,Manhattan
FINANCIAL,RR-CONDOMINIUM,156,2000,142626,4812280,33.74,1059660,7.43,3752620,24970000,175.07,Manhattan
FINANCIAL,R4-CONDOMINIUM,441,2003,348157,14476368,41.58,4223144,12.13,10253224,77405999,222.33,Manhattan
FINANCIAL,R9-CONDOMINIUM,11,1900,31738,1126699,35.5,292942,9.23,833757,6163000,194.18,Manhattan
FINANCIAL,RR-CONDOMINIUM,19,1930,28775,850301,29.55,314356,10.92,535945,3751000,130.36,Manhattan
FINANCIAL,R9-CONDOMINIUM,14,1930,17122,763299,44.58,242276,14.15,521023,3922000,229.06,Manhattan
FINANCIAL,R4-CONDOMINIUM,14,1910,22613,905425,40.04,264346,11.69,641079,4845000,214.26,Manhattan
FINANCIAL,R4-CONDOMINIUM,73,1909,89994,3333378,37.04,691154,7.68,2642224,19447000,216.09,Manhattan
FINANCIAL,R4-CONDOMINIUM,21,1900,66930,2408141,35.98,740246,11.06,1667895,12305999,183.86,Manhattan
FINANCIAL,R4-CONDOMINIUM,67,1906,66575,2395369,35.98,736320,11.06,1659049,12240999,183.87,Manhattan
SOUTHBRIDGE,R4-CONDOMINIUM,210,1896,196837,6407044,32.55,1979777,10.06,4427267,30017000,152.5,Manhattan
SOUTHBRIDGE,R4-CONDOMINIUM,9,1923,20883,664288,31.81,244331,11.7,419957,3140000,150.36,Manhattan
SOUTHBRIDGE,R4-CONDOMINIUM,163,1940,191740,6685974,34.87,2300880,12,4385094,32452994,169.26,Manhattan
SOUTHBRIDGE,R4-CONDOMINIUM,22,1983,37170,1254859,33.76,444182,11.95,810677,6017001,161.88,Manhattan
SOUTHBRIDGE,R4-CONDOMINIUM,18,1900,23044,733030,31.81,269608,11.7,463422,3455999,149.97,Manhattan
SOUTHBRIDGE,R4-CONDOMINIUM,15,1910,25825,871852,33.76,265223,10.27,606629,4503000,174.37,Manhattan
SOUTHBRIDGE,R4-CONDOMINIUM,15,1999,20091,678272,33.76,206335,10.27,471937,3503000,174.36,Manhattan
SOUTHBRIDGE,R4-CONDOMINIUM,125,1900,168889,5725337,33.9,2026668,12,3698669,27446000,162.51,Manhattan
SOUTHBRIDGE,R4-CONDOMINIUM,49,1900,37646,1137662,30.22,418624,11.12,719038,5292822,140.59,Manhattan
TRIBECA,R4-CONDOMINIUM,128,1987,115909,4958587,42.78,1407135,12.14,3551452,26786996,231.1,Manhattan
TRIBECA,R4-CONDOMINIUM,133,1987,138016,5904324,42.78,1675514,12.14,4228810,31896000,231.1,Manhattan
TRIBECA,R4-CONDOMINIUM,11,2001,54500,2220330,40.74,712315,13.07,1508015,11391999,209.03,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,8,1969,17000,486540,28.62,137020,8.06,349520,2012991,118.41,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,10,1900,22964,826245,35.98,253982,11.06,572263,3971997,172.97,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,27,1900,59853,2246283,37.53,622471,10.4,1623812,7359002,122.95,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,75,1930,118046,5339221,45.23,1300867,11.02,4038354,28800004,243.97,Manhattan
CIVIC CENTER,R9-CONDOMINIUM,65,1915,112500,4167000,37.04,864000,7.68,3303000,18150000,161.33,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,14,1860,32039,1169744,36.51,300205,9.37,869539,6408000,200.01,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,87,1910,217318,9188205,42.28,2284012,10.51,6904193,52094996,239.72,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,26,1900,50165,1831524,36.51,470046,9.37,1361478,7964002,158.76,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,15,2007,15060,736133,48.88,186292,12.37,549841,3109996,206.51,Manhattan
TRIBECA,R4-CONDOMINIUM,12,1920,30062,1081631,35.98,332486,11.06,749145,4928001,163.93,Manhattan
TRIBECA,R4-CONDOMINIUM,83,1987,89377,3973701,44.46,1099337,12.3,2874364,21638002,242.1,Manhattan
TRIBECA,R4-CONDOMINIUM,80,1988,66551,2767191,41.58,807264,12.13,1959927,14796000,222.33,Manhattan
TRIBECA,R4-CONDOMINIUM,10,1930,28000,1059520,37.84,313320,11.19,746200,4301000,153.61,Manhattan
TRIBECA,R4-CONDOMINIUM,38,1931,87334,3675015,42.08,986001,11.29,2689014,16060010,183.89,Manhattan
TRIBECA,R4-CONDOMINIUM,1,1915,2660,113954,42.84,30617,11.51,83337,422400,158.8,Manhattan
TRIBECA,R4-CONDOMINIUM,30,1910,92487,3327682,35.98,1022906,11.06,2304776,17006001,183.87,Manhattan
TRIBECA,RR-CONDOMINIUM,163,2006,182235,6570000,36.05,1027000,5.64,5543000,38389000,210.66,Manhattan
TRIBECA,R4-CONDOMINIUM,220,2006,535060,24200764,45.23,5896361,11.02,18304403,136481149,255.08,Manhattan
TRIBECA,R4-CONDOMINIUM,311,2005,314373,14329121,45.58,3986250,12.68,10342871,77801025,247.48,Manhattan
TRIBECA,R9-CONDOMINIUM,13,1915,19882,635628,31.97,201802,10.15,433826,2365000,118.95,Manhattan
TRIBECA,R9-CONDOMINIUM,11,1920,15500,526690,33.98,164455,10.61,362235,6162000,397.55,Manhattan
TRIBECA,R4-CONDOMINIUM,12,1910,27928,1004849,35.98,308884,11.06,695965,4576001,163.85,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,2,1915,12688,480114,37.84,141979,11.19,338135,2334000,183.95,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,20,1920,24992,997181,39.9,317148,12.69,680033,5140002,205.67,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,21,1895,32300,1162154,35.98,357238,11.06,804916,5938999,183.87,Manhattan
CIVIC CENTER,R9-CONDOMINIUM,13,1915,20500,793555,38.71,256455,12.51,537100,3495000,170.49,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,9,1920,20325,769098,37.84,227437,11.19,541661,3718000,182.93,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,20,1915,35900,1329736,37.04,275712,7.68,1054024,7757997,216.1,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,19,1915,45510,1546430,33.98,482861,10.61,1063569,7890999,173.39,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,8,1915,26658,762952,28.62,214863,8.06,548089,3701001,138.83,Manhattan
CHINATOWN,R4-CONDOMINIUM,18,1915,20000,577200,28.86,163000,8.15,414200,3110001,155.5,Manhattan
CHINATOWN,R4-CONDOMINIUM,12,1900,41204,1317292,31.97,418221,10.15,899071,6701998,162.65,Manhattan
CHINATOWN,R4-CONDOMINIUM,163,1990,126500,3787410,29.94,1406680,11.12,2380730,17836002,141,Manhattan
CHINATOWN,R4-CONDOMINIUM,11,1915,28500,822510,28.86,232275,8.15,590235,4431999,155.51,Manhattan
CHINATOWN,R4-CONDOMINIUM,72,2007,91412,4114454,45.01,1357468,14.85,2756986,20745996,226.95,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,47,1900,132423,4432198,33.47,1064681,8.04,3367517,24419996,184.41,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,30,1920,89678,2420409,26.99,486055,5.42,1934354,13964998,155.72,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,29,1920,56292,1799655,31.97,571364,10.15,1228291,9156999,162.67,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,17,1860,32939,872554,26.49,329390,10,543164,3928999,119.28,Manhattan
CIVIC CENTER,R4-CONDOMINIUM,24,1915,98891,3458218,34.97,864555,8.74,2593663,19190999,194.06,Manhattan
CIVIC CENTER,R2-CONDOMINIUM,11,1915,24985,619628,24.8,249850,10,369778,2686999,107.54,Manhattan
TRIBECA,R4-CONDOMINIUM,10,1982,33633,1048677,31.18,385098,11.45,663579,4960000,147.47,Manhattan
TRIBECA,R4-CONDOMINIUM,31,1915,88615,2347411,26.49,877289,9.9,1470122,10634000,120,Manhattan
TRIBECA,R4-CONDOMINIUM,20,1915,20750,679978,32.77,238833,11.51,441145,3280999,158.12,Manhattan
TRIBECA,R4-CONDOMINIUM,10,1921,23287,582175,25,239856,10.3,342319,2492001,107.01,Manhattan
TRIBECA,R2-CONDOMINIUM,10,1983,10962,328093,29.93,122446,11.17,205647,1543998,140.85,Manhattan
TRIBECA,R4-CONDOMINIUM,9,1915,17788,472983,26.59,181793,10.22,291190,2100997,118.11,Manhattan
TRIBECA,R4-CONDOMINIUM,8,1915,12690,350879,27.65,119159,9.39,231720,1504899,118.59,Manhattan
TRIBECA,R4-CONDOMINIUM,36,1915,86451,2893515,33.47,1029631,11.91,1863884,13843002,160.13,Manhattan
TRIBECA,R4-CONDOMINIUM,46,1910,83020,2868341,34.55,988768,11.91,1879573,13919998,167.67,Manhattan
TRIBECA,R4-CONDOMINIUM,25,1930,94532,2793421,29.55,1089954,11.53,1703467,12100005,128,Manhattan
TRIBECA,R9-CONDOMINIUM,24,1915,52735,1396950,26.49,522077,9.9,874873,6328000,120,Manhattan
TRIBECA,R4-CONDOMINIUM,14,1921,40581,1248272,30.76,392012,9.66,856260,6399998,157.71,Manhattan
TRIBECA,R4-CONDOMINIUM,13,1915,53468,1644676,30.76,516501,9.66,1128175,8432001,157.7,Manhattan
TRIBECA,R9-CONDOMINIUM,11,1915,18315,541208,29.55,167949,9.17,373259,2798000,152.77,Manhattan
TRIBECA,R4-CONDOMINIUM,10,1909,24407,780292,31.97,247731,10.15,532561,3981999,163.15,Manhattan
TRIBECA,R4-CONDOMINIUM,23,1915,86900,2778193,31.97,882035,10.15,1896158,14136000,162.67,Manhattan
TRIBECA,R4-CONDOMINIUM,57,1905,150010,4795820,31.97,1522602,10.15,3273218,24401999,162.67,Manhattan
TRIBECA,R4-CONDOMINIUM,33,1924,119996,4323456,36.03,1429152,11.91,2894304,21352002,177.94,Manhattan
TRIBECA,R4-CONDOMINIUM,26,2000,68033,2526065,37.13,829322,12.19,1696743,12485002,183.51,Manhattan
TRIBECA,R4-CONDOMINIUM,64,1915,119640,3824891,31.97,1214346,10.15,2610545,19461006,162.66,Manhattan
TRIBECA,R2-CONDOMINIUM,2,1875,4169,113105,27.13,44650,10.71,68455,494000,118.49,Manhattan
TRIBECA,R4-CONDOMINIUM,15,2005,34587,1447120,41.84,434136,12.55,1012984,7646000,221.07,Manhattan
CHINATOWN,R4-CONDOMINIUM,167,1985,163160,4501584,27.59,1417860,8.69,3083724,22226999,136.23,Manhattan
CHINATOWN,R4-CONDOMINIUM,61,2004,60962,2131841,34.97,609620,10,1522221,11262997,184.75,Manhattan
CHINATOWN,R4-CONDOMINIUM,23,2003,46545,1627679,34.97,276012,5.93,1351667,10001002,214.87,Manhattan
CHINATOWN,R4-CONDOMINIUM,27,1900,70649,2955954,41.84,1283692,18.17,1672262,11110005,157.26,Manhattan
TRIBECA,R4-CONDOMINIUM,9,1915,16028,397494,24.8,168294,10.5,229200,1669000,104.13,Manhattan
TRIBECA,R4-CONDOMINIUM,50,1915,122640,3920801,31.97,1410360,11.5,2510441,18715001,152.6,Manhattan
TRIBECA,R4-CONDOMINIUM,34,1890,67451,2156408,31.97,684628,10.15,1471780,10971998,162.67,Manhattan
TRIBECA,R4-CONDOMINIUM,10,1929,46250,1811613,39.17,462500,10,1349113,9988004,215.96,Manhattan
TRIBECA,R4-CONDOMINIUM,35,2004,138798,4835722,34.84,1654472,11.92,3181250,23452969,168.97,Manhattan
TRIBECA,R4-CONDOMINIUM,24,1930,66444,2043817,30.76,730884,11,1312933,9813002,147.69,Manhattan
TRIBECA,R4-CONDOMINIUM,66,1913,155221,5592613,36.03,1848682,11.91,3743931,27619994,177.94,Manhattan
TRIBECA,R4-CONDOMINIUM,15,1920,58213,2011259,34.55,533231,9.16,1478028,10946001,188.03,Manhattan
TRIBECA,R4-CONDOMINIUM,33,1853,100894,2981418,29.55,925198,9.17,2056220,15416001,152.79,Manhattan
TRIBECA,R4-CONDOMINIUM,4,2007,17185,677776,39.44,179411,10.44,498365,3773000,219.55,Manhattan
TRIBECA,R4-CONDOMINIUM,65,2004,163128,6156451,37.74,1869447,11.46,4287004,32454998,198.95,Manhattan
TRIBECA,R4-CONDOMINIUM,28,1920,88897,2734472,30.76,1024982,11.53,1709490,12775996,143.72,Manhattan
TRIBECA,R4-CONDOMINIUM,16,1930,37785,1116547,29.55,415635,11,700912,4905998,129.84,Manhattan
TRIBECA,R4-CONDOMINIUM,6,1915,16400,461004,28.11,163672,9.98,297332,2147000,130.91,Manhattan
TRIBECA,R4-CONDOMINIUM,12,1915,51647,1526169,29.55,473603,9.17,1052566,7891000,152.79,Manhattan
TRIBECA,R4-CONDOMINIUM,31,1920,94924,3034720,31.97,963479,10.15,2071241,15440998,162.67,Manhattan
TRIBECA,R4-CONDOMINIUM,33,1900,73257,1941311,26.5,585323,7.99,1355988,8843984,120.73,Manhattan
TRIBECA,R4-CONDOMINIUM,20,1962,36435,1120741,30.76,351962,9.66,768779,5745997,157.71,Manhattan
TRIBECA,R4-CONDOMINIUM,27,1920,88496,2829217,31.97,898234,10.15,1930983,14395002,162.66,Manhattan
TRIBECA,R9-CONDOMINIUM,38,1910,73919,2077863,28.11,737712,9.98,1340151,9646000,130.49,Manhattan
TRIBECA,R4-CONDOMINIUM,8,1940,24059,665231,27.65,259837,10.8,405394,2926000,121.62,Manhattan
SOHO,R4-CONDOMINIUM,11,2003,25300,930028,36.76,310937,12.29,619091,4560000,180.24,Manhattan
SOHO,R4-CONDOMINIUM,67,2007,146294,5973184,40.83,2048116,14,3925068,29647996,202.66,Manhattan
SOHO,R4-CONDOMINIUM,10,1915,30331,993947,32.77,349110,11.51,644837,4802001,158.32,Manhattan
SOHO,R4-CONDOMINIUM,10,1920,17632,497222,28.2,169267,9.6,327955,2366000,134.19,Manhattan
SOHO,R4-CONDOMINIUM,16,1910,44653,1259215,28.2,428669,9.6,830546,5698005,127.61,Manhattan
CHINATOWN,R4-CONDOMINIUM,18,1911,45148,1413584,31.31,520556,11.53,893028,6665999,147.65,Manhattan
CHINATOWN,R4-CONDOMINIUM,12,1915,28370,888265,31.31,230081,8.11,658184,4432999,156.26,Manhattan
CHINATOWN,R4-CONDOMINIUM,39,1990,25786,794982,30.83,257860,10,537122,4013995,155.67,Manhattan
CHINATOWN,RR-CONDOMINIUM,25,1915,26907,825776,30.69,174088,6.47,651688,4871000,181.03,Manhattan
CHINATOWN,R4-CONDOMINIUM,18,1899,14777,401491,27.17,144371,9.77,257120,1854996,125.53,Manhattan
CHINATOWN,R4-CONDOMINIUM,80,1929,85956,2335425,27.17,936920,10.9,1398505,10091999,117.41,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,13,1912,19597,541857,27.65,211648,10.8,330209,2320995,118.44,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,10,2005,7576,249705,32.96,85078,11.23,164627,1225000,161.69,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,26,1990,27046,677232,25.04,305349,11.29,371883,2701000,99.87,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,80,2002,43850,1786449,40.74,573120,13.07,1213329,9166000,209.03,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,16,2004,9744,375729,38.56,138365,14.2,237364,1795999,184.32,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,12,1991,5700,216543,37.99,71706,12.58,144837,1096000,192.28,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,10,2004,6656,242145,36.38,81869,12.3,160276,1182000,177.58,Manhattan
CHINATOWN,R4-CONDOMINIUM,74,1989,47161,1582723,33.56,563574,11.95,1019149,7567998,160.47,Manhattan
CHINATOWN,R4-CONDOMINIUM,32,1991,25805,792472,30.71,297790,11.54,494682,3696998,143.27,Manhattan
CHINATOWN,R2-CONDOMINIUM,20,1900,11358,227841,20.06,104494,9.2,123347,882000,77.65,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,28,1988,19924,550899,27.65,215179,10.8,335720,2419000,121.41,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,24,1907,21645,570346,26.35,241342,11.15,329004,2379998,109.96,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,30,1928,21223,547978,25.82,227086,10.7,320892,2324996,109.55,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,29,1912,43723,1253976,28.68,546538,12.5,707438,5313001,121.52,Manhattan
CHINATOWN,R4-CONDOMINIUM,8,1988,4227,115186,27.25,45229,10.7,69957,505001,119.47,Manhattan
CHINATOWN,R4-CONDOMINIUM,10,2007,7169,275003,38.36,91907,12.82,183096,1386004,193.33,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,10,1900,6791,147229,21.68,54328,8,92901,673204,99.13,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,35,1990,23604,724879,30.71,266725,11.3,458154,3423996,145.06,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,16,2002,31406,1142550,36.38,402625,12.82,739925,5454002,173.66,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,41,1941,25795,750892,29.11,279618,10.84,471274,3536997,137.12,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,4,1920,7535,217234,28.83,56136,7.45,161098,1144001,151.82,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,23,1910,17899,499919,27.93,192951,10.78,306968,2009999,112.3,Manhattan
CHINATOWN,R4-CONDOMINIUM,8,1910,8188,226398,27.65,84255,10.29,142143,1026001,125.31,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,25,2003,39027,1303502,33.4,491350,12.59,812152,6041000,154.79,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,27,1940,23344,959205,41.09,299270,12.82,659935,4984001,213.5,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,53,1930,56354,2294171,40.71,521275,9.25,1772896,13391995,237.64,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,41,2004,39643,1528634,38.56,461841,11.65,1066793,7689010,193.96,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,6,1950,44742,1588341,35.5,412969,9.23,1175372,17869000,399.38,Manhattan
LOWER EAST SIDE,R2-CONDOMINIUM,48,1930,61673,2344807,38.02,824568,13.37,1520239,11507016,186.58,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,38,1930,32476,1175956,36.21,492661,15.17,683295,5039003,155.16,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,31,2005,47873,1609012,33.61,440432,9.2,1168580,8636002,180.39,Manhattan
LOWER EAST SIDE,R2-CONDOMINIUM,2,1900,2787,105627,37.9,43644,15.66,61983,427000,153.21,Manhattan
ALPHABET CITY,R4-CONDOMINIUM,25,2001,27798,792799,28.52,309114,11.12,483685,3212028,115.55,Manhattan
ALPHABET CITY,R4-CONDOMINIUM,23,2005,34734,1202838,34.63,414029,11.92,788809,5840002,168.14,Manhattan
ALPHABET CITY,R4-CONDOMINIUM,5,2008,7405,263988,35.65,60647,8.19,203341,1501999,202.84,Manhattan
ALPHABET CITY,R4-CONDOMINIUM,47,2005,36472,1454868,39.89,319859,8.77,1135009,8579000,235.22,Manhattan
ALPHABET CITY,R2-CONDOMINIUM,13,1920,18990,518047,27.28,206991,10.9,311056,2244001,118.17,Manhattan
ALPHABET CITY,R9-CONDOMINIUM,30,1901,20940,587576,28.06,264682,12.64,322894,2324000,110.98,Manhattan
ALPHABET CITY,R4-CONDOMINIUM,16,2000,15704,541631,34.49,210120,13.38,331511,2455000,156.33,Manhattan
ALPHABET CITY,R9-CONDOMINIUM,78,2001,65832,2518732,38.26,789984,12,1728748,13083000,198.73,Manhattan
ALPHABET CITY,R4-CONDOMINIUM,83,1928,78982,2138833,27.08,853006,10.8,1285827,9281001,117.51,Manhattan
ALPHABET CITY,R4-CONDOMINIUM,12,2005,11603,469341,40.45,149679,12.9,319662,2415000,208.14,Manhattan
ALPHABET CITY,R2-CONDOMINIUM,35,1999,36046,1178344,32.69,429668,11.92,748676,5568999,154.5,Manhattan
ALPHABET CITY,R2-CONDOMINIUM,12,2001,15957,507433,31.8,178718,11.2,328715,2451000,153.6,Manhattan
ALPHABET CITY,R2-CONDOMINIUM,12,2001,11495,365541,31.8,128744,11.2,236797,1765999,153.63,Manhattan
ALPHABET CITY,R4-CONDOMINIUM,17,2008,19333,782020,40.45,257129,13.3,524891,3543001,183.26,Manhattan
ALPHABET CITY,R4-CONDOMINIUM,21,1920,20038,541026,27,214607,10.71,326419,2355999,117.58,Manhattan
ALPHABET CITY,R4-CONDOMINIUM,16,1920,19854,534271,26.91,224350,11.3,309921,2238999,112.77,Manhattan
ALPHABET CITY,R4-CONDOMINIUM,1,1920,1996,64870,32.5,23772,11.91,41098,306000,153.31,Manhattan
ALPHABET CITY,R2-CONDOMINIUM,41,1987,35664,1068493,29.96,410136,11.5,658357,4675012,131.08,Manhattan
ALPHABET CITY,R9-CONDOMINIUM,17,1920,21314,570576,26.77,213140,10,357436,2584000,121.23,Manhattan
ALPHABET CITY,R2-CONDOMINIUM,12,1999,14376,457876,31.85,155405,10.81,302471,2256000,156.93,Manhattan
ALPHABET CITY,R4-CONDOMINIUM,26,1965,29906,989590,33.09,308331,10.31,681259,5064002,169.33,Manhattan
ALPHABET CITY,R2-CONDOMINIUM,24,1900,15021,379731,25.28,162227,10.8,217504,1578999,105.12,Manhattan
ALPHABET CITY,R2-CONDOMINIUM,18,1920,11033,268102,24.3,118053,10.7,150049,907499,82.25,Manhattan
ALPHABET CITY,R2-CONDOMINIUM,18,1999,19119,528449,27.64,172071,9,356378,2568002,134.32,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,13,1900,31205,1107778,35.5,288022,9.23,819756,6058998,194.17,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,6,1900,3800,112936,29.72,34500,9.08,78436,588000,154.74,Manhattan
LOWER EAST SIDE,R4-CONDOMINIUM,10,1900,11517,408854,35.5,106302,9.23,302552,2100000,182.34,Manhattan
