Zip Code,Total Population,Median Age,Total Males,Total Females,Total Households,Average Household Size
91203,13220,38.9,6279,6941,5044,2.62
91204,16032,38.1,7699,8333,5639,2.76
91205,37810,39.1,18084,19726,14089,2.67
91206,33065,42.6,15544,17521,13261,2.48
91207,10506,45.5,4924,5582,4097,2.56
91208,16245,43.6,7756,8489,6106,2.66
91210,328,33.9,162,166,178,1.84
91214,30356,42.5,14642,15714,10551,2.87
91301,25488,42.7,12511,12977,9208,2.76
91302,25709,42.4,12487,13222,9303,2.76
91303,26855,31.1,13907,12948,8697,3.08
91304,50231,35.9,24827,25404,16532,3
91306,45061,35.4,22679,22382,13635,3.28
91307,24474,43.4,11939,12535,8315,2.91
91311,36557,42.7,17838,18719,13425,2.66
91316,26898,42.1,12717,14181,11911,2.26
91321,34882,33.3,17402,17480,11215,3.04
91324,27669,36.5,13545,14124,9289,2.95
91325,32417,35.4,15819,16598,11825,2.72
91326,33708,42.7,16394,17314,11770,2.86
91330,2702,19.6,1103,1599,2,2.5
91331,103689,29.5,52358,51331,22465,4.6
91335,74363,35.5,36596,37767,22855,3.21
91340,34188,30.1,17130,17058,8176,4.17
91342,91725,31.9,45786,45939,23543,3.83
91343,60254,32.3,30145,30109,16802,3.55
91344,51747,41,25212,26535,16872,3.03
91345,18496,35.7,9110,9386,5192,3.52
91350,33348,36.4,16270,17078,10991,3.01
91351,32362,33.9,16086,16276,10036,3.22
91352,47807,32.1,23980,23827,11985,3.95
91354,28722,36.4,14046,14676,9522,3.01
91355,32605,38.8,15773,16832,12772,2.51
91356,29458,41.7,14216,15242,11686,2.5
91361,20438,47.6,9854,10584,8374,2.43
91362,36045,42.6,17562,18483,13563,2.65
91364,25851,44,12739,13112,10409,2.47
91367,39499,41,19171,20328,16697,2.35
91377,13811,41.7,6641,7170,5158,2.68
91381,20158,36,9852,10306,6636,3.04
91384,29855,32.5,18503,11352,6925,3.3
91387,40328,33,20106,20222,12871,3.13
91390,19786,40.1,9911,9875,6369,3.07
91401,39285,36,19613,19672,14380,2.7
91402,69817,30.1,35095,34722,18194,3.81
91403,23484,39.4,11277,12207,11358,2.06
91405,51145,32.6,25498,25647,16256,3.11
91406,51558,33.6,25956,25602,17042,3.02
91411,24628,33.8,12495,12133,9177,2.63
91423,30991,39.2,14789,16202,14876,2.07
91436,14372,46.5,6890,7482,5552,2.57
91501,20849,38.3,10040,10809,8235,2.53
91502,11371,36.4,5402,5969,5001,2.26
91504,24939,38.6,12006,12933,9180,2.69
91505,30778,38.9,15121,15657,13180,2.33
91506,18904,40.9,9115,9789,7555,2.45
91601,37180,32.9,18932,18248,15970,2.32
91602,17473,38,8722,8751,9277,1.88
91604,29034,40.2,14271,14763,14292,2.01
91605,56343,31.9,28417,27926,15357,3.61
91606,44958,34.3,22376,22582,14903,3
91607,27927,38.2,13635,14292,12859,2.15
91608,0,0,0,0,0,0
91702,59705,29.4,29486,30219,15455,3.67
91706,76571,30.5,37969,38602,17504,4.35
91709,74796,36.6,36954,37842,22940,3.25
91710,80358,33,42283,38075,21952,3.43
91711,35705,38.6,16777,18928,11868,2.58
91722,34409,34,16859,17550,10079,3.41
91723,18275,35,8783,9492,6296,2.86
91724,26184,37.9,12780,13404,8508,3.05
91731,29591,32.9,14888,14703,8007,3.66
91732,61386,31.4,30755,30631,14700,4.13
91733,43896,30.5,22191,21705,9918,4.4
91740,25356,38.5,12269,13087,8376,2.94
91741,25824,41.8,12498,13326,9126,2.82
91744,85040,30.9,42564,42476,18648,4.55
91745,54013,40.1,26287,27726,16188,3.33
91746,30485,32.4,15116,15369,6743,4.5
91748,45406,39.8,22368,23038,13311,3.4
91750,33249,42.6,15881,17368,11944,2.71
91754,32742,42.9,15620,17122,11193,2.92
91755,27496,43.4,13271,14225,8760,3.12
91759,476,47.2,239,237,216,2.2
91763,36375,30.8,18099,18276,9450,3.81
91765,46457,40.8,22702,23755,15039,3.08
91766,71599,28.7,36111,35488,17708,4.01
91767,48068,31.2,23685,24383,13691,3.47
91768,34537,27.3,17509,17028,7885,3.87
91770,62097,38.3,30521,31576,16588,3.7
91773,33119,42.5,15737,17382,11941,2.73
91775,23988,41.4,11448,12540,8227,2.9
91776,38475,39,18751,19724,11776,3.24
91780,34332,41.1,16438,17894,11318,3.03
91784,25938,44.5,12729,13209,8934,2.9
91786,51165,33,24516,26649,18087,2.79
91789,43079,42.8,20988,22091,12891,3.31
91790,44907,35.2,21721,23186,12751,3.49
91791,32414,38,15512,16902,10236,3.15
91792,30854,35.3,14950,15904,9154,3.35
91801,52735,39.1,24833,27902,19315,2.71
91803,30322,39.6,14486,15836,9894,3.04
92301,32725,25.6,16857,15868,8132,3.81
92371,16763,37.9,8565,8198,5370,3.11
92372,6220,41.8,3136,3084,2198,2.83
92397,4894,44.1,2522,2372,1998,2.45
92821,35533,38.7,17338,18195,13062,2.72
92823,3613,38.6,1757,1856,1154,3.13
92833,51767,36,25643,26124,15849,3.23
93040,2031,29.3,1052,979,522,3.89
93063,54366,39,26592,27774,18650,2.9
93225,5077,44,2585,2492,2080,2.44
93243,1699,40.9,884,815,623,2.73
93252,4176,38.4,3301,875,647,2.81
93510,7993,45.2,4086,3907,2729,2.86
93523,3074,27,1531,1543,1056,2.91
93532,2932,41.7,1642,1290,1079,2.45
93534,39341,31.1,18601,20740,14038,2.74
93535,72046,28.3,34879,37167,20672,3.44
93536,70918,34.4,37804,33114,20964,3.07
93543,13033,32.9,6695,6338,3560,3.66
93544,1259,52.4,689,570,569,2.2
93550,74929,27.5,36414,38515,20864,3.58
93551,50798,37,25056,25742,15963,3.18
93552,38158,28.4,18711,19447,9690,3.93
93553,2138,43.3,1121,1017,816,2.62
93560,18910,32.4,9491,9419,6469,2.92
93563,388,44.5,263,125,103,2.53
93591,7285,30.9,3653,3632,1982,3.67
